Filename,Sentence,Gender,Accent,Eleven_Labs_voice,train_or_val,region,spoof_or_real
north_america_v1_output_1,"My dream job is to be a professional travel photographer, capturing stunning images from",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_output_2,I realized how much I've grown when I was able to handle a difficult,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_4,"During a difficult time in my life, a friend's heartfelt words of encouragement",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_5,"As I wandered through the carnival, I stumbled upon a hidden tunnel that led",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_6,"I quit my stable job to pursue my passion for photography, and it turned",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_7,"The first time I saw a shooting star, I was filled with wonder and",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_8,I once helped a stranger change a flat tire on the side of the road,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_9,"Despite feeling unsure of my abilities, I pushed through my self-doubt",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_10,I witnessed something magical when I saw a double rainbow appear in the sky after,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_11,"The first time I saw snow falling, it was like watching tiny pieces of",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_12,The moment I realized I had a hidden talent was when I effortlessly picked up,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_13,I felt like a hero when I rescued a lost dog and reunited it with,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_14,"As I pushed aside the overgrown vines in the abandoned garden, I stumbled",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_15,"The first time I saw a person fly in a jetpack, I realized",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_16,The first time I felt truly understood was when my best friend listened to my,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_17,The day I received a job offer for my dream position with a salary higher,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_18,"The key to happiness is finding contentment and fulfillment in the present moment,",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_19,"I was moved to tears by my friend's heartfelt speech at my wedding,",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_20,The beach where I spent countless summers building sandcastles with my family holds,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_21,I felt incredibly proud of my sister when she graduated at the top of her,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_22,"One day, while attending a pottery class with a friend, I discovered my",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_23,I faced the challenge of completing a difficult project at work within a tight deadline,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_24,My favorite childhood memory is playing in the backyard with my siblings on warm summer,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_25,I made a positive change in my life when I decided to prioritize my mental,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_26,The most adventurous thing I've ever done was skydiving from 15,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_27,The best piece of advice I've ever received is to always trust my instincts,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_28,I realized the importance of patience when I was trying to teach my young niece,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_29,The first time I traveled alone was when I went to Paris for a week,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_30,I made an unforgettable first impression when I confidently delivered a flawless presentation in front,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_31,I was moved to tears by the heartfelt speech my best friend gave at my,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_32,I made an unforgettable first impression when I confidently delivered a flawless presentation in front,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_33,I was waiting in line at the grocery store when the person in front of,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_34,"I helped my friend navigate through a difficult career decision, and it ultimately led",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_35,The most inspiring story I've heard is about a young girl who overcame,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_36,"I completely lost track of time and reality while reading the gripping thriller, unable",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_37,"I had an amazing meal at a Michelin-starred restaurant in Paris,",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_38,"When I was going through a tough time, my friend stayed by my side",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_39,I made a positive change in my life when I started practicing daily gratitude and,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_40,What is a significant life event or experience that has shaped who you are today,female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_41,"I once witnessed a sudden hailstorm in the middle of summer, with golf",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_42,"I volunteered at a homeless shelter and helped a man secure a job, which",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_43,"Despite my fear of heights, I decided to go skydiving for the",female,American,Natasha,train,north america (us and canada),spoof
north_america_v1_t_output_44,The last time I felt truly relaxed was when I was laying in a hamm,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_45,"As the detective finally solved the case, it was revealed that the victim had",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_46,My hope is to make a positive impact on the world by using my skills,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_47,I discovered a new passion for cooking after taking a cooking class and realizing how,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_48,My favorite actor is Tom Hanks because of his incredible range and ability to,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_49,"My favorite place to relax is by the ocean, listening to the waves crash",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_50,"The first time I saw the ocean, I was in awe of its vast",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_51,"My dream job is to be a successful entrepreneur, running my own sustainable fashion",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_52,"When I traveled to a new country and experienced a different culture, I had",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_53,The moment I held my newborn baby in my arms for the first time is,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_54,I had a surprising encounter with my high school math teacher at a grocery store,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_55,I felt like I was on top of the world when I successfully completed a,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_56,"My favorite season is autumn because I love the cool, crisp air, the",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_57,The first time I felt truly understood was when my best friend listened to me,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_58,One moment that stands out to me is when my younger sister graduated at the,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_59,"I was sad when my best friend moved away to a different state, leaving",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_60,"Sitting on a quiet beach at sunrise, listening to the gentle sound of",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_61,"The first time I saw snow, I was amazed by the way it blank",female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_62,I once helped a stranger on the street who was lost and looking for directions,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_63,The most beautiful thing I've ever witnessed was a breathtaking sunset over the ocean,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_64,The first time I achieved something big was when I won first place in the,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_65,The most unexpected thing I've learned is that octopuses have three hearts,female,American,Alexi,train,north america (us and canada),spoof
north_america_v1_t_output_66,"While hiking in the mountains, I turned a corner and came face-to-face",female,American,Alexi,train,north america (us and canada),spoof
